sothutu,name,brand,pricenew,sale,priceold
186,[HSD 11/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush 50ml,Fragrance Mist Hair And Body #Floral Blush,44000,56%,99000
187,[HSD 01/2025] Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach 88ml,Perfume Mist,77000,54%,169000
188,[HSD 10/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom 50ml,Fragrance Mist Hair And Body #Love Bloom,79000,20%,99000
189,Nước Hoa Nữ Marc Jacobs Daisy EDT 100ml,Daisy Eau De Toilette,2249000,37%,3570000
190,Xịt Thơm Toàn Thân Kiss My Body Hottie 88ml,Perfume Mist,168000,1%,169000
191,Nước hoa Dolce&Gabbana The One Gold Pour Homme EDP Intense,Dolce & Gabbana,4032000,4%,4200000
192,Nước hoa Dolce&Gabbana K Pour Homme EDP Intense,Dolce & Gabbana,3628000,4%,3780000
193,Nước hoa Dolce & Gabbana Intenso Pour Homme EDP,Dolce & Gabbana,2736000,4%,2850000
194,Nước hoa YSL La Nuit de L’Homme EDT,Yves Saint Laurent,4051000,4%,4220000
195,Narciso Rodriguez Vetiver Musc For Him EDT,Narciso Rodriguez,2593000,5%,2730000
196,Nước hoa YSL Y Le Parfum EDP,Yves Saint Laurent,5241000,4%,5460000
197,Nước hoa Mcm Onyx EDP,MCM,2014000,8%,2190000
198,Nước hoa JPG LE MALE ELIXIR 23 EDP,Jean Paul Gaultier,3667000,5%,3860000
199,Nước hoa L'HOMME LE PARFUM EDP,Yves Saint Laurent,4617000,4%,4810000
200,Sữa tắm CALVIN KLEIN DEFY FOR MEN HAIR & BODY WASH,Calvin Klein,460000,8%,500000
201,Nước hoa Valentino Uomo Born In Roma Coral Fantasy EDT,Valentino,2745000,5%,2890000
202,Nước hoa Valentino Uomo Born In Roma Yellow Dream EDT,Valentino,2745000,5%,2890000
203,Nước hoa Valentino Uomo Born In Roma EDT,Valentino,2745000,5%,2890000
204,Nước hoa Valentino Uomo EDT,Valentino,2745000,5%,2890000
205,Nước Hoa Azzaro The Most Wanted EDP Intense,Azzaro,2658000,8%,2890000
206,Nước hoa Giorgio Armani Acqua Di Gio Parfum Vaporisateur Rechargeable Refillable Spray,Giorgio Armani,1851000,5%,1949000
207,Nước hoa Gucci Guilty Elixir De Parfum Pour Homme,Gucci,4066000,5%,4280000
208,Nước hoa Hugo Boss Bottled Elixir,Hugo Boss,3413000,8%,3710000
209,Nước hoa Calvin Klein Defy Parfum,Calvin Klein,3808000,8%,4140000
210,Nước hoa Hugo Boss Boss Bottled Parfum,Hugo Boss,4075000,8%,4430000
211,Nước hoa Montblanc Explorer Platinum EDP,Mont Blanc,2802000,5%,2950000
212,Nước hoa Coach Green EDT,Coach,2208000,8%,2400000
213,Nước Hoa Giorgio Armani Acqua Di Gio For Men EDT,Giorgio Armani,2896000,5%,3049000
214,Nước hoa Armani Code For Men EDT,Giorgio Armani,2612000,5%,2750000
215,Nước hoa Y EDP,Yves Saint Laurent,4406000,4%,4590000
216,Nước hoa Prada Luna Rossa EDT,Prada,2894000,5%,3047000
217,Nước Hoa Prada Luna Rossa Ocean EDT,Prada,2894000,5%,3047000
218,Nước hoa Giorgio Armani Acqua Di Gio EDP,Giorgio Armani,3751000,5%,3949000
219,Nước hoa Dolce&Gabbana Light Blue Summer Vibes Pour Homme EDT,Dolce & Gabbana,3408000,4%,3550000
220,Nước hoa Scandal Pour Homme Le Parfum EDP,Jean Paul Gaultier,3534000,5%,3720000
221,Nước hoa Versace Eros Parfum,Versace,3116000,8%,3388000
222,Nước hoa Calvin Klein Defy EDP,Calvin Klein,2769000,8%,3010000
223,Nước hoa Burberry Hero EDP,Burberry,4626000,5%,4870000
224,Nước hoa Burberry Hero EDP,Burberry,451000,5%,475000
225,Nước hoa Gucci Guilty Pour Homme Parfum,Gucci,4750000,5%,5000000
226,Nước hoa Paco Rabanne Fame EDP,Paco Rabanne,3847000,5%,4050000
227,Nước hoa Yves Saint Laurent Libre L'Absolu Platin EDP,Yves Saint Laurent,5299000,4%,5520000
228,Nước hoa Calvin Klein My Euphoria EDP,Calvin Klein,3275000,8%,3560000
229,Nước hoa Paco Rabanne Fame Intense EDP,Paco Rabanne,4560000,5%,4800000
230,Nước hoa Dolce & Gabbana The Only One EDP Intense,Dolce & Gabbana,5040000,4%,5250000
231,Nước hoa Dolce&Gabbana The One Gold EDP Intense,Dolce & Gabbana,4656000,4%,4850000
232,Nước hoa Dolce & Gabbana Q EDP Intense,Dolce & Gabbana,4896000,4%,5100000
233,Nước hoa L'Eau d'IsseySolar Violet EDTI,Issey Miyake,3078000,5%,3240000
234,Nước hoa L'Eau d'Issey pour Homme Solar Lavender EDTI,Issey Miyake,1957000,5%,2060000
235,Giftset YSL Black Opium EDP 4PCS,Yves Saint Laurent,3715000,4%,3870000
236,Giftset YSL Black Opium EDP 3PCS,Yves Saint Laurent,3897000,4%,4060000
237,Nước hoa Carolina Herrera Good Girl EDP,Carolina Herrera,1909000,5%,2010000
238,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,3715000,4%,3870000
239,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,4848000,4%,5050000
240,Issey Miyake Ladies A Drop D'issey Essentielle EDP,Issey Miyake,3116000,5%,3280000
241,Narciso Rodriguez Musc Nude For Her EDP,Narciso Rodriguez,3657000,5%,3850000
242,Nước hoa Chloé Signature Lumineuse Roses EDP,Chloe,4949000,8%,5380000
243,Nước hoa Burberry Her Petals Limited Edition,Burberry,4797000,5%,5050000
244,Giftset Lancôme Miracle EDP 3PCS,Lancôme,2016000,4%,2100000
245,Giftset Lancôme La Nuit Tresor 3PCS,Lancôme,2688000,4%,2800000
246,Nước hoa Valentino Donna Born In Roma Intense EDP,Valentino,4493000,5%,4730000
