sothutu,Tên_Sản_Phẩm,Thương_Hiệu,Giá_Bán,Giá_Gốc,Dung_Tich,Phần_Trăm_Giảm
200,Sữa tắm CALVIN KLEIN DEFY FOR MEN HAIR & BODY WASH,Calvin Klein,460000,500000,100ml,8
201,Nước hoa Valentino Uomo Born In Roma Coral Fantasy EDT,Valentino,2745000,2890000,100ml,5
202,Nước hoa Valentino Uomo Born In Roma Yellow Dream EDT,Valentino,2745000,2890000,100ml,5
203,Nước hoa Valentino Uomo Born In Roma EDT,Valentino,2745000,2890000,100ml,5
204,Nước hoa Valentino Uomo EDT,Valentino,2745000,2890000,100ml,5
205,Nước Hoa Azzaro The Most Wanted EDP Intense,Azzaro,2658000,2890000,100ml,8
206,Nước hoa Giorgio Armani Acqua Di Gio Parfum Vaporisateur Rechargeable Refillable Spray,Giorgio Armani,1851000,1949000,100ml,5
207,Nước hoa Gucci Guilty Elixir De Parfum Pour Homme,Gucci,4066000,4280000,100ml,5
208,Nước hoa Hugo Boss Bottled Elixir,Hugo Boss,3413000,3710000,100ml,8
209,Nước hoa Calvin Klein Defy Parfum,Calvin Klein,3808000,4140000,100ml,8
210,Nước hoa Hugo Boss Boss Bottled Parfum,Hugo Boss,4075000,4430000,100ml,8
211,Nước hoa Montblanc Explorer Platinum EDP,Mont Blanc,2802000,2950000,100ml,5
212,Nước hoa Coach Green EDT,Coach,2208000,2400000,100ml,8
213,Nước Hoa Giorgio Armani Acqua Di Gio For Men EDT,Giorgio Armani,2896000,3049000,100ml,5
214,Nước hoa Armani Code For Men EDT,Giorgio Armani,2612000,2750000,100ml,5
215,Nước hoa Y EDP,Yves Saint Laurent,4406000,4590000,100ml,4
216,Nước hoa Prada Luna Rossa EDT,Prada,2894000,3047000,100ml,5
217,Nước Hoa Prada Luna Rossa Ocean EDT,Prada,2894000,3047000,100ml,5
218,Nước hoa Giorgio Armani Acqua Di Gio EDP,Giorgio Armani,3751000,3949000,100ml,5
219,Nước hoa Dolce&Gabbana Light Blue Summer Vibes Pour Homme EDT,Dolce & Gabbana,3408000,3550000,100ml,4
220,Nước hoa Scandal Pour Homme Le Parfum EDP,Jean Paul Gaultier,3534000,3720000,100ml,5
221,Nước hoa Versace Eros Parfum,Versace,3116000,3388000,100ml,8
222,Nước hoa Calvin Klein Defy EDP,Calvin Klein,2769000,3010000,100ml,8
223,Nước hoa Burberry Hero EDP,Burberry,4626000,4870000,100ml,5
224,Nước hoa Burberry Hero EDP,Burberry,451000,475000,100ml,5
225,Nước hoa Gucci Guilty Pour Homme Parfum,Gucci,4750000,5000000,100ml,5
226,Nước hoa Paco Rabanne Fame EDP,Paco Rabanne,3847000,4050000,100ml,5
227,Nước hoa Yves Saint Laurent Libre L'Absolu Platin EDP,Yves Saint Laurent,5299000,5520000,100ml,4
228,Nước hoa Calvin Klein My Euphoria EDP,Calvin Klein,3275000,3560000,100ml,8
229,Nước hoa Paco Rabanne Fame Intense EDP,Paco Rabanne,4560000,4800000,100ml,5
230,Nước hoa Dolce & Gabbana The Only One EDP Intense,Dolce & Gabbana,5040000,5250000,100ml,4
231,Nước hoa Dolce&Gabbana The One Gold EDP Intense,Dolce & Gabbana,4656000,4850000,100ml,4
232,Nước hoa Dolce & Gabbana Q EDP Intense,Dolce & Gabbana,4896000,5100000,100ml,4
233,Nước hoa L'Eau d'IsseySolar Violet EDTI,Issey Miyake,3078000,3240000,100ml,5
234,Nước hoa L'Eau d'Issey pour Homme Solar Lavender EDTI,Issey Miyake,1957000,2060000,100ml,5
235,Giftset YSL Black Opium EDP 4PCS,Yves Saint Laurent,3715000,3870000,100ml,4
236,Giftset YSL Black Opium EDP 3PCS,Yves Saint Laurent,3897000,4060000,100ml,4
237,Nước hoa Carolina Herrera Good Girl EDP,Carolina Herrera,1909000,2010000,100ml,5
238,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,3715000,3870000,100ml,4
239,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,4848000,5050000,100ml,4
240,Issey Miyake Ladies A Drop D'issey Essentielle EDP,Issey Miyake,3116000,3280000,100ml,5
241,Narciso Rodriguez Musc Nude For Her EDP,Narciso Rodriguez,3657000,3850000,100ml,5
242,Nước hoa Chloé Signature Lumineuse Roses EDP,Chloe,4949000,5380000,100ml,8
243,Nước hoa Burberry Her Petals Limited Edition,Burberry,4797000,5050000,100ml,5
244,Giftset Lancôme Miracle EDP 3PCS,Lancôme,2016000,2100000,100ml,4
245,Giftset Lancôme La Nuit Tresor 3PCS,Lancôme,2688000,2800000,100ml,4
